Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;48;408;288;619;588;2159;;;;;;;
Mar_BR;Mar Brasil - Rateio;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
Mar_BR;Mar Brasil - Estoque;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
Mar_BR;Oftalmo;Corretiva - B2G;0;0;0;0;8;61;74;61;60;60;61;78;225;179;349;181;0;;;;;;;
Mar_BR;Eventuais B2G;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - 171;Corretiva - B2G;33467;13252;29059;36038;14233;18788;2820;4017;5821;3480;5425;891;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Corretiva - B2G;9370;2631;4511;7569;5518;5168;1222;2410;7094;2103;2855;976;0;0;0;0;0;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Corretiva - B2G;1169;0;1438;8580;5963;13241;15366;8648;13589;13581;23574;3181;23209;14640;21685;42689;29229;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6516;636;4879;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Corretiva - B2G;0;0;0;0;0;0;0;0;0;588;61;281;1376;13539;14508;1795;2339;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Corretiva - B2G;;;;;;;;;;;;;;;;;;;;;13;7879;4576;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Corretiva - B2G;;;;;;;;;;;;;;;;;;5885;2764;3356;228;225;228;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Corretiva - B2G;;;;;;;;;;;;;;;;;;1227;1312;1195;1497;1845;675;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Corretiva - B2G;;;;;;;;;;;;;;;;;;;1244;1064;;;;
Mar_BR;Eventuais B2G;Corretiva - B2G;;;;;;;;;;;;;;;;;;1077;;;1516;;1500;
Mar_BR;Mar Brasil - Estoque;Corretiva - B2G;;;;;;;;;;;;;;;;;;;;;3352;;;
Mar_BR;Rede Alpha;Corretiva - B2G;;;;;;;;;;;;;;;;;;;65;49;134;;47;
Mar_BR;Rossi Advogados;Corretiva - B2G;;;;;;;;;;;;;;;;;;;22;17;41;;16;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Corretiva - B2G;;;;;;;;;;;;;;;;;;19212;23103;13071;28422;20214;17624;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Corretiva - B2G;;;;;;;;;;;;;;;;;;1681;1853;1154;2594;2296;7066;
Mar_BR;São Paulo CRSN PSP 6018/2025;Corretiva - B2G;;;;;;;;;;;;;;;;;;;;;;;544;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;3221;8003;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Credenciado Administrativo;;;;;;;;;;;;;;;;;;2107;1852;2316;2671;2165;2175;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Credenciado Administrativo;;;;;;;;;;;;;;;;;;3738;2706;3874;101;1137;5442;
Mar_BR;Eventuais B2G;Credenciado Administrativo;;;;;;;;;;;;;;;;;;1802;;;1932;;;
Mar_BR;Rede Alpha;Credenciado Administrativo;;;;;;;;;;;;;;;;;;154;142;180;180;41;178;
Mar_BR;Rossi Advogados;Credenciado Administrativo;;;;;;;;;;;;;;;;;;54;49;61;55;15;64;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Credenciado Administrativo;;;;;;;;;;;;;;;;;;30819;26976;33764;37808;29126;33996;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;3046;3016;3677;4124;3182;3702;
Mar_BR;São Paulo CRSN PSP 6018/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;401;1752;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado Operacional;;;;;;;;;;;;;;;;;;;;;2852;3045;5091;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Credenciado Operacional;;;;;;;;;;;;;;;;;;3944;7934;8500;4100;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Credenciado Operacional;;;;;;;;;;;;;;;;;;4329;84;192;594;773;2354;
Ybox;Ybox;Despesas Administrativas;1029;821;578;2006;7984;4228;4282;506;506;506;568;3763;2826;1891;2071;1953;3347;1987;29453;7680,47;9501;4332,32;19672,47;
Ybox;Ybox;Dividendos;17749;19067;19640;19640;19328;19328;19328;19328;19328;27840;8977;9115;19112;17899;15003;17899;17899;17899;24795;35284;24398;29398,22;22224,93;
Ybox;Ybox;Impostos;6472;6078;6068;6059;6049;6038;6334;6015;6004;6045;6084;6107;6149;6174;6158;6151;6144;8990;2846;4880;4802;4802;3526,88;
Ybox;Ybox;Jurídico;3500;3500;3500;3587;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;;;;;
Ybox;Ybox;Juros e devoluções;7626;8319;7626;7626;7626;3500;3500;3500;0;3500;0;0;3500;3500;3500;3500;3500;3500;3500;;;;1258,04;
Ybox;Ybox;Receita Bruta de Vendas;41592;41592;41592;41592;41592;45718;45718;41592;45718;46473;45258;45258;43118;43694;43118;43118;43118;43118;43118;43118;44357;46137,03;49160,62;
DZM;DZM - Alcalinas;Despesas Administrativas;;;;;;;;;;;;;;;;;;;484;;345;374;374;
DZM;DZM - G2;Despesas Administrativas;;;;;;;;;;;;;;;;;;15000;9143;9143;9143;9143;9143;
DZM;DZM - Imóveis Guilhermina;Outras Receitas;;;;;;;;;;;;;;;;;;0;0;;;;;
DZM;DZM - Imóveis Guilhermina;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;1822;1859;1834;1899;816;768;
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;;;;;;;;;;;;;;;;;;523;1068;157;338;369;349;
DZM;DZM - Imóveis Guilhermina;Impostos;;;;;;;;;;;;;;;;;;;140;;;;;
DZM;DZM - Imóveis Guilhermina;Receitas Financeiras;;;;;;;;;;;;;;;;;;8;;19;18;;38;
DZM;DZM - Imóveis Guilhermina;Despesas Financeiras;;;;;;;;;;;;;;;;;;3;4;;;;;
DZM;DZM - Intermediação de Negócios;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;;;60164;60194;68966;75055;
DZM;DZM - Mar Brasil;Ativos;;;;;;;;;;;;;;;;;;;;;771;;;
DZM;DZM - Mar Brasil;Despesas com Pessoal;;;;;;;;;;;;;;;;;;1000;;;350;;;
DZM;DZM - Mar Brasil;Despesas Variáveis;;;;;;;;;;;;;;;;;;3142;49;72;;610;40;
DZM;DZM - Mar Brasil;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;;;140;;;;
DZM;DZM - Mar Brasil;Despesas Administrativas;;;;;;;;;;;;;;;;;;2435;1792;2063;400;100;180;
DZM;DZM - Mar Brasil;Recuperação de Despesas Variáveis;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;
DZM;DZM - Mar Brasil;Despesas Financeiras;;;;;;;;;;;;;;;;;;3;15;;;;;
DZM;DZM - Mar Brasil - Climatização;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;;;700;800;
DZM;DZM - Pessoal;Despesas com Pessoal;;;;;;;;;;;;;;;;;;;;;;;500;
DZM;DZM - Pessoal;Despesas Variáveis;;;;;;;;;;;;;;;;;;2829;7676;7205;3384;2033;5775;
DZM;DZM - Pessoal;Outras Receitas;;;;;;;;;;;;;;;;;;;;129;129;129;;
DZM;DZM - Pessoal;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;1027;2355;3278;359;
DZM;DZM - Pessoal;Despesas Financeiras;;;;;;;;;;;;;;;;;;;6;;;;;
DZM;DZM - Rancho da Praia;Ativos;;;;;;;;;;;;;;;;;;;1613;244;2514;827;1257;
DZM;DZM - Rancho da Praia;Despesas com Pessoal;;;;;;;;;;;;;;;;;;2996;4112;4229;3805;2811;3300;
DZM;DZM - Rancho da Praia;Despesas Variáveis;;;;;;;;;;;;;;;;;;3508;2530;1900;3138;2163;6219;
DZM;DZM - Rancho da Praia;Outras Receitas;;;;;;;;;;;;;;;;;;0;1;;;;;
DZM;DZM - Rancho da Praia;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;18778;43989;14848;23840;24030;20744;
DZM;DZM - Rancho da Praia;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;169;150;585;655;125;410;
DZM;DZM - Rancho da Praia;Despesas Administrativas;;;;;;;;;;;;;;;;;;4917;5466;8805;7491;9428;15736;
DZM;DZM - Rancho da Praia;Despesas Financeiras;;;;;;;;;;;;;;;;;;3;114;54;29;;;
DZM;DZM - RATEIO;Ativos;;;;;;;;;;;;;;;;;;;;139;;;;
DZM;DZM - RATEIO;Despesas com Pessoal;;;;;;;;;;;;;;;;;;;;;1848;;;
DZM;DZM - RATEIO;Despesas Variáveis;;;;;;;;;;;;;;;;;;;;;64;;;
DZM;DZM - RATEIO;Outras Receitas;;;;;;;;;;;;;;;;;;;;0;0;2;1;
DZM;DZM - RATEIO;Despesas Administrativas;;;;;;;;;;;;;;;;;;;657;1944;1701;4353;3066;
DZM;DZM - RATEIO;Impostos;;;;;;;;;;;;;;;;;;5343;;10532;16983;21438;21068;
DZM;DZM - RATEIO;Recuperação de Despesas Variáveis;;;;;;;;;;;;;;;;;;;;1;284;;667;
DZM;DZM - RATEIO;Despesas Financeiras;;;;;;;;;;;;;;;;;;;;239;239;265;271;
DZM;DZM - RATEIO;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;;;;;;20000;
DZM;DZM - Ribeirópolis - Galpão 0643;Ativos;;;;;;;;;;;;;;;;;;;;;;;813;
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Variáveis;;;;;;;;;;;;;;;;;;4800;650;40;3779;40;60;
DZM;DZM - Ribeirópolis - Galpão 0643;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;665;;;;;;
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Administrativas;;;;;;;;;;;;;;;;;;500;975;1716;1493;3251;2995;
DZM;DZM - Ribeirópolis - Galpão 0643;Impostos;;;;;;;;;;;;;;;;;;91;;;;;;
DZM;DZM - Ribeirópolis - Galpão 0643;Despesas Financeiras;;;;;;;;;;;;;;;;;;3;;;;;;
DZM;DZM - Terceirização;Ativos;;;;;;;;;;;;;;;;;;;;;758;;;
DZM;DZM - Terceirização;Despesas com Pessoal;;;;;;;;;;;;;;;;;;33829;47862;53341;41855;58482;51935;
DZM;DZM - Terceirização;Despesas Variáveis;;;;;;;;;;;;;;;;;;;83;;;;;
DZM;DZM - Terceirização;Outras Receitas;;;;;;;;;;;;;;;;;;1;1;;;;;
DZM;DZM - Terceirização;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;44229;49728;55090;51628;53726;63276;
DZM;DZM - Terceirização;Despesas Administrativas;;;;;;;;;;;;;;;;;;2812;1526;1153;3768;3054;2635;
DZM;DZM - Terceirização;Despesas Financeiras;;;;;;;;;;;;;;;;;;194;108;;;;;
DZM;DZM - Terceirização;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;;;;1160;496;500;
DZM;DZM - Ybox;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;34;;;;
DZM;Tchandra Coelho;Ativos;;;;;;;;;;;;;;;;;;;;;;2569;2631;
DZM;Tchandra Coelho;Despesas Variáveis;;;;;;;;;;;;;;;;;;;;300;7187;5590;5780;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Credenciado Operacional;;;;;;;;;;;;;;;;;;141;122;321;;;;
Mar_BR;Eventuais B2G;Credenciado Operacional;;;;;;;;;;;;;;;;;;68;;;;;;
Mar_BR;Rede Alpha;Credenciado Operacional;;;;;;;;;;;;;;;;;;6;6;15;;12;12;
Mar_BR;Rossi Advogados;Credenciado Operacional;;;;;;;;;;;;;;;;;;2;2;5;;4;4;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Credenciado Operacional;;;;;;;;;;;;;;;;;;25905;22537;41052;30421;26651;29637;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Credenciado Operacional;;;;;;;;;;;;;;;;;;114;136;304;832;1125;4053;
Mar_BR;São Paulo CRSN PSP 6018/2025;Credenciado Operacional;;;;;;;;;;;;;;;;;;;;;;112;119;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado TI;;;;;;;;;;;;;;;;;;;;;;3540;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Credenciado TI;;;;;;;;;;;;;;;;;;854;800;660;1065;738;583;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Credenciado TI;;;;;;;;;;;;;;;;;;1516;1169;1104;;;1192;
Mar_BR;Eventuais B2G;Credenciado TI;;;;;;;;;;;;;;;;;;731;;;1080;;;
Mar_BR;Rede Alpha;Credenciado TI;;;;;;;;;;;;;;;;;;63;62;51;96;;13;
Mar_BR;Rossi Advogados;Credenciado TI;;;;;;;;;;;;;;;;;;22;21;17;29;;5;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Credenciado TI;;;;;;;;;;;;;;;;;;12496;11648;9620;15538;9441;8675;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Credenciado TI;;;;;;;;;;;;;;;;;;1235;1302;1048;1693;1033;882;
Mar_BR;São Paulo CRSN PSP 6018/2025;Credenciado TI;;;;;;;;;;;;;;;;;;;;;;;125;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;2538;179;2447;5939;628;0;1834;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;0;2079;1112;968;1200;1671;1710;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Custo dos Serviços Prestados;35871;81350;36282;144;131;415;2104;1773;4581;72;72;0;0;0;0;0;1672;;;;;;;
Mar_BR;Oftalmo;Custo dos Serviços Prestados;563;970;602;784;2184;702;283;584;853;995;565;579;545;539;621;640;0;;;;;;;
Mar_BR;PG - 171;Custo dos Serviços Prestados;10042;12289;7690;5850;15427;3923;1898;4028;7602;8399;4101;120;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Custo dos Serviços Prestados;2622;3636;1131;475;1409;475;343;394;715;853;443;444;0;0;0;0;0;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Custo dos Serviços Prestados;13632;10000;24999;20998;56787;18759;10601;17654;24968;29944;91931;13517;11729;9301;23823;20000;17015;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6971;8333;1421;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;;;;;19059;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;250;;628;378;;125;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;76;523;3782;3735;4013;4195;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;134;398;5913;94;71;11527;
Mar_BR;D.Z.M;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;757;757;;500;;;
